Symbol	Description
ECH	Chile Investable Mkt Idx MSCI Ishares
ECNS	China Smallcap Index MSCI Ishares
ECON	Emrg Mkts Consumer Egshares
EDC	Emrg Mkts Bull 3X Direxion
EDEN	Denmark Capped Investable Mkt Idx Fd MSCI Ishare
EDIV	SPDR S&P Emrg Mkts Dividend
EDV	Extended Dur Trs Idx ETF Vanguard
EDZ	Emrg Mkts Bear 3X Direxion
EEB	BRIC Guggenheim
EEH	Spectrum Lg Cap U.S. Sector ETN Elements
EEHB	S&P Emrg Mkts High Beta Powershares
EELV	S&P Emrg Mkts Low Volatily Powershares
EEM	Emrg Mkts Index MSCI Ishares
EEMS	Emrg Mkts Smallcap MSCI Ishares
EEMV	Emrg Mkts Min Vol Idx MSCI Ishares
EES	Smallcap Earnings Wisdomtree
EET	Ultra MSCI Emrg Mkts Proshares
EEV	Ultrashort MSCI Emrg Mkts Proshares
EFA	EAFE Index MSCI Ishares
EFAV	EAFE Min Volatility MSCI Ishares
EFG	EAFE Growth Index MSCI Ishares
EFNL	Finland Cp Investable Mkt Indx Fund MSCI Ishares
EFO	Ultra MSCI EAFE Proshares
EFU	Ultrashort MSCI EAFE Proshares
EFV	EAFE Value Index MSCI Ishares
EFZ	Short EAFE MSCI Proshares
EGAS	Gas Natural Inc.
EGI	Entree Gold Inc
EGPT	Egypt Index ETF Market Vectors
EGT	Entertainment Gaming Asia Inc.
EIA	Eaton Vance California Muni Bond II
EIDO	Indonesia Invstble Mkt Idx MSCI Ishares
EIM	Eaton Vance Muni Bond Fund
EIO	Eaton Vance Ohio Muni Bond Fund
EIP	Eaton Vance Pennsylvania Muni Bond
EIPL	Monthly 2X Next Gen Internet ETN UBS E-Tracs
EIPO	Next Gen 2X Internet ETN UBS E-Tracs
EIRL	Ireland Cppd Invstb Mkt Idx MSCI Ishares
EIS	Israel Cap Invest Mkt Index MSCI Ishares
EIV	Eaton Vance Muni Bond Fund II
ELD	Emrg Mkts Local Debt Wisdomtree
ELLO	Ellomay Capital Ltd Ordinary Sh
ELMD	Electromed
ELR	SPDR DJ Largecap
EMAN	Emagin Corp.
EMB	USD Emrg Mkts Bond Ishares
EMCD	SPDR Bofa Merrill Emerging Mark
EMCR	Egshares Emerging Markets Core
EMDD	Egshares Emerging Markets Domes
EMER	IQ Emrg Mkts Midcap ETF
EMFT	SPDR MSCI EM 50 ETF
EMHY	Emrg Mkts High Yield Bond Fund Ishares
EMI	Eaton Vance Michigan Muni Income Trust
EMJ	Eaton Vance New Jersey Muni Bond
EMLB	Long Enhd MSCI Emerg Mkts ETN Ipath
EMLC	Emrg Mkts Local Curr Bond ETF Market Vectors
EMLP	First Trust North American Ener
EMM	SPDR DJ Midcap
EMT	Emrg Mkts Metals/Mining Egshares
EMXX	Eurasian Minerals
ENA	Enova Systems Inc.
ENGN	Industrials Sector Bond Ishares
ENOR	Norway Capped Investable Mkt Idx Fd MSCI Ishares
ENX	Eaton Vance New York Muni Bond Fund
ENY	Canadian Energy Income Guggenheim
ENZL	New Zealand Invstb Mkt Idx MSCI Ishares
EOX	Emerald Oil Inc
EPHE	Philippines Invstb Mkt Idx MSCI Ishares
EPI	India Earnings Wisdomtree
EPM	Evolution Petroleum Corp.
EPM-A	Evolution Petroleum Corporation
EPOL	Poland Investable Mkt Index MSCI Ishares
EPP	Pacific Ex-Japan MSCI Ishares
EPS	Earnings 500 Wisdomtree
EPU	All Peru Capped Index MSCI Ishares
EPV	Ultrashort MSCI Europe Proshares
EQIN	Russell Equity Income ETF
EQL	Alps Equal Sector Weight ETF
ERB	Erba Diagnostics Inc
ERC	Wells Fargo Advantage Multi-Sector
ERH	Wells Fargo Advantage Utilities And High
ERO	EUR/USD Exchange Rate ETN Ipath
ERUS	Russia Capped Index MSCI Ishares
ERX	Energy Bull 3X Direxion
ERY	Energy Bear 3X Direxion
ESA	Energy Services Acquisition Corp
ESP	Espey Mfg. & Electronics
ESR	Emrg Mkts Eastern Europe MSCI Ishares
ESTE	Earthstone Energy
ETAK	Elephant Talk Commun
ETF	Aberdeen Emerging Markets Telecommunications
ETUA	Eunits 2 Year U.S. Market Parti
ETUB	Eunits 2 Year U.S. Market Part
EU	Euro Debt Wisdomtree
EUFX	Proshares Short Euro
EUM	Short Emrg Mkts MSCI Proshares
EUO	Ultrashort Euro Proshares
EUSA	USA Index MSCI Ishares
EVBN	Evans Bancorp
EVI	Envirostarm
EVJ	Eaton Vance New Jersey Muni Income Trust
EVK	Ever-Glory International Group
EVM	Eaton Vance California Muni Bond Fund
EVO	Eaton Vance Ohio Muni Income Trust
EVP	Eaton Vance Pennsylvania Muni Income Trust
EVV	Eaton Vance Limited Duration
EVX	Environmental Svcs ETF Market Vectors
EVY	Eaton Vance New York Muni Income Trust
EWA	Australia Index MSCI Ishares
EWAS	Australia Smallcap Index Fund MSCI Ishares
EWC	Canada Index MSCI Ishares
EWCS	Canada Smallcap Index Fund MSCI Ishares
EWD	Sweden Index MSCI Ishares
EWEF	EAFE Equal Weight MSCI Guggenheim
EWEM	Emrg Mkts Eq Wt MSCI Guggenheim
EWG	Germany Index MSCI Ishares
EWGS	Germany Smallcap Index Fund MSCI Ishares
EWH	Hong Kong Index MSCI Ishares
EWHS	Hong Kong Smallcap MSCI Ishares
EWI	Italy Index MSCI Ishares
EWJ	Japan Index MSCI Ishares
EWK	Belgium Investable Mkt Idx MSCI Ishares
EWL	Switzerland Index MSCI Ishares
EWM	Malaysia Index MSCI Ishares
EWMD	S&P Midcap 400 Equal Weight Guggenheim
EWN	Netherlands Invstbl Mkt Idx MSCI Ishares
EWO	Austria Investable Mkt Idx MSCI Ishares
EWP	Spain Index MSCI Ishares
EWQ	France Index MSCI Ishares
EWRI	Russell 1000 Equal Weight Guggenheim
EWRM	Russell Midcap Equal Weight Guggenheim
EWRS	Russell 2000 Equal Weight Guggenheim
EWS	Singapore Index MSCI Ishares
EWSM	S&P Smallcap 600 Eq Wt Guggenheim
EWSS	Singapore Smallcap Fund MSCI Ishares
EWT	Taiwan Index MSCI Ishares
EWU	United Kingdom Index MSCI Ishares
EWUS	United Kingdom Smallcap Index Fund MSCI Ishares
EWV	Ultrashort MSCI Japan Proshares
EWW	Mexico Investable Mkt Idx MSCI Ishares
EWX	SPDR S&P Emrg Mkts Smallcap
EWY	South Korea Index MSCI Ishares
EWZ	Brazil Index MSCI Ishares
EWZS	Brazil Smallcap Index MSCI Ishares
EXE	Crexendo Inc
EXI	S&P Global Industrials Ishares
EXT	Total Earnings Wisdomtree
EZA	South Africa Index MSCI Ishares
EZJ	Ultra MSCI Japan Proshares
